brand,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,potential_allergens,quality_ingredients,questionable_ingredients
zoe,19%,54/100g,29%,19%,6%,28%,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Turkey,Potato,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[3],Savory Pâté With Turkey & Cuts Of Chicken In Gravy,[2],eggs,"chicken,turkey,chicken liver","potato starch,guar gum"
zoe,19%,54/100g,29%,19%,6%,28%,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Tuna,Tilapia,Potato,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[3],Savory Pâté With Tilapia & Cuts Of Tuna In Gravy,[2],"tuna,tilapia,eggs","chicken,tuna,tilapia,chicken liver","potato starch,guar gum"
zoe,19%,54/100g,29%,19%,6%,28%,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Tuna,Pumpkin,Salmon,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[2],Savory Pâté With Salmon & Flakes Of Tuna In Gravy,[2],"tuna,salmon,eggs","chicken,tuna,salmon,chicken liver","potato starch,guar gum"
zoe,19%,54/100g,29%,19%,6%,28%,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Salmon,Carrot,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[2],Savory Pâté With Chicken & Flakes Of Salmon In Gravy,[2],"salmon,eggs","chicken,salmon,chicken liver","potato starch,guar gum"
zoe,19%,54/100g,29%,19%,6%,28%,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Duck,Potato,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[3],Savory Pâté With Chicken & Cuts Of Chicken In Gravy,[2],eggs,"chicken,duck,chicken liver","potato starch,guar gum"
zoe,19%,54/100g,29%,19%,6%,28%,2.8%,4.3%,2.8%,0.9%,85.0%,4.2%,"Chicken Broth,Water Sufficient for Processing,Chicken,Beef,Pumpkin,Potato Starch,Chicken Liver,Eggs,Natural Flavors,Potassium Chloride,Tricalcium Phosphate,Locust Bean Gum,Sodium Carbonate,Salt,Xanthan Gum,Guar Gum,Magnesium Sulfate,Vitamins (Vitamin E Supplement,Thiamine Hydrochloride,Niacin,Vitamin A Supplement,Pyridoxine Hydrochloride,Biotin,Vitamin B12 Supplement),Taurine,Choline Chloride,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite,Potassium Iodide.",[3],Savory Pâté With Chicken & Cuts Of Beef In Gravy,[2],"beef,eggs","chicken,beef,chicken liver","potato starch,guar gum"
annamaet,8%,379/100g,17%,22%,3%,49%,7.3%,15.7%,20.0%,3.0%,10.0%,44.0%,"Chicken Meal,Tapioca,Chicken Fat (Preserved with Mixed Tocopherols (Vitamin E)),Herring Meal,Dried Eggs,Brewers Yeast,Field Peas,Menhaden Oil (Preserved with Mixed Tocopherols (Vitamin E)),Natural Flavor,Carrots,Celery,Parsley,Lettuce,Watercress,Spinach,Lecithin,Fat Product (Algae,Source of Fatty Acids),Cranberries,Potassium Chloride,DL Methionine,Ascorbic Acid,Yucca Schidigera Extract,Taurine,Choline Chloride,Vitamin E Supplement,Niacin Supplement,Organic Dried Kelp,Biotin,Thiamine Mononitrate,Pyridoxine Hydrochloride,Vitamin A Acetate,Riboflavin Supplement,d-Calcium Pantothenate,Vitamin B12 Supplement,Citric Acid,Vitamin D3 Supplement,Folic Acid,Ferrous Sulfate,Zinc Sulfate,Zinc Proteinate,Iron Proteinate,Zinc Oxide,Copper Sulfate,Manganese Sulfate,Manganese Proteinate,Copper Proteinate,Manganous Oxide,Sodium Selenite,Calcium Iodate",[4],Grain Free Feline,[3],"herring meal,dried eggs","chicken meal,herring meal",
applaws,0%,414/100g,31%,20%,3%,46%,0.0%,29.0%,19.0%,2.5%,6.5%,43.0%,"Chicken Meal,Turkey Meal,Chicken,Potato,Chicken Fat (Preserved with Mixed Tocopherols),Dried Plain Beet Pulp,Peas,Natural Flavor,Sun Cured Alfalfa Meal,Salmon Oil,Yeast Extract,Taurine,Cranberries,Calcium Carbonate,Vitamin E Supplement,Zinc Proteinate,Zinc Sulfate,Ferrous Sulfate,Iron Proteinate,Potassium Chloride,Copper Sulfate,Copper Proteinate,Niacin Supplement,Calcium Pantothenate,Manganese Sulfate,Sodium Selenite,Manganese Proteinate,Vitamin A Supplement,Riboflavin Supplement,Vitamin D3 Supplement,Vitamin B12 Supplement,Thiamine Mononitrate,Pyridoxine Hydrochloride,Calcium Iodate,Folic Acid,Dried Enterococcus faceium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus oryzae fermentation product,Dried Trichoderma longibrachiatum fermentation product,Dried Bacillus subtilis fermentation product,Rosemary Extract",[4],Chicken,[3],salmon oil,"chicken meal,turkey meal,chicken",
artemis,0%,405/100g,41%,22%,3%,33%,0.0%,37.0%,20.0%,3.0%,10.0%,30.0%,"Chicken,Chicken Meal,Peas,Barley,Rice Bran,Chicken Fat (Preserved with Mixed Tocopherols),Fish Meal,Natural Flavor,Flaxseed,Sodium Bisulfate,Choline Chloride,Taurine,Dried Chicory Root,Dried Kelp,Carrots,Apples,Tomatoes,Blueberries,Spinach,Cranberries,Rosemary Extract,Parsley Flake,Green Tea Extract,Barley Grass,L-Carnitine,Dried Lactobacillus acidophilus fermentation product,dried Bifidobacterium animalis fermentation product,dried Lactobacillus reuteri fermentation product,Zinc Proteinate,Vitamin E Supplement,Niacin,Manganese Proteinate,Copper Proteinate,Zinc Sulfate,Manganese Sulfate,Copper Sulfate,Thiamine Mononitrate,Vitamin A Supplement,Biotin,Potassium Iodide,Calcium Pantothenate,Riboflavin,Pyridoxine Hydrochloride (vitamin B6),Vitamin B12 Supplement,Manganous Oxide,Sodium Selenite,Vitamin D Supplement,Folic Acid",[3],Fresh Mix Feline All Life Stages,[2],fish meal,"chicken,chicken meal",rice bran
authority,10%,93/100g,15%,25%,5%,45%,2.2%,3.3%,5.5%,1.0%,78.0%,10.0%,"Salmon Broth,Ocean Fish,Beef,Chicken,Animal Liver,Chicken Liver,Brewer's Rice,Dried Egg Product,Guar Gum,Potassium Chloride,Thiamine Mononitrate,Vitamin E Supplement,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Brewer's Dried Yeast,Ferrous Sulfate,Zinc Oxide,Copper Proteinate,Potassium Iodide,Manganese Sulfate,Sodium Selenite,Choline Chloride,Salt and Taurine",[3],Senior Formula Cat Food - Ocean Fish & Rice,[4],"salmon broth,ocean fish,beef,dried egg product","beef,chicken,chicken liver","brewer's rice,guar gum"
authority,8%,360/100g,36%,18%,3%,36%,7.0%,32.0%,16.0%,3.0%,10.0%,32.0%,"Salmon,Salmon Meal,Dried Peas,Dried Potatoes,Chicken Fat (Preserved With Mixed Tocopherols),Pea Protein,Potato Protein,Dried Beet Pulp,Dried Egg Product,Natural Flavor,Dicalcium Phosphate,Potassium Chloride,Inulin,Salt,Choline Chloride,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Vitamin A Supplement,d-Calcium Pantothenate,Thiamine Mononitrate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin D3 Supplement,Folic Acid,Biotin,Vitamin B12 Supplement),Sodium Hexametaphosphate,Minerals (Zinc Sulfate,Ferrous Sulfate,Copper Sulfate,Manganese Sulfate,Calcium Carbonate,Sodium Selenite,Calcium Iodate),Taurine,Vegetable Oil,Lecithin,Rosemary Extract",[3],Grain Free Adult Cat Food - Salmon & Potato,[2],"salmon,salmon meal,dried egg product","salmon,salmon meal",
authority,8%,360/100g,36%,18%,3%,36%,7.0%,32.0%,16.0%,3.0%,10.0%,32.0%,"Chicken,Chicken Meal,Dried Peas,Dried Potatoes,Pea Protein,Potato Protein,Chicken Fat (Preserved With Mixed Tocopherols),Dried Beet Pulp,Natural Flavor,Dried Egg Product,Salmon Oil,Dicalcium Phosphate,Choline Chloride,Inulin,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Vitamin A Supplement,d-Calcium Pantothenate,Thiamine Mononitrate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin D3 Supplement,Folic Acid,Biotin,Vitamin B12 Supplement),Salt,Potassium Chloride,Sodium Hexametaphosphate,Taurine,Minerals (Zinc Sulfate,Ferrous Sulfate,Copper Sulfate,Manganese Sulfate,Calcium Carbonate,Sodium Selenite,Calcium Iodate),Vegetable Oil,Lecithin,Rosemary Extract",[4],Grain Free Adult Cat Food - Chicken & Potato,[2],"dried egg product,salmon oil","chicken,chicken meal",
authority,8%,331/100g,37%,13%,6%,36%,7.5%,33.5%,12.0%,5.0%,10.0%,32.0%,"Deboned Turkey,Turkey Meal,Brewers Rice,Oat Groats,Salmon Meal,Chicken Fat,Brown Rice,Dried Plain Beet Pulp,Dried Egg Product,Natural Flavor,Potassium Chloride,Inulin,Choline Chloride,Sodium Hexametaphosphate,Minerals (Zinc Sulfate,Ferrous Sulfate,Calcium Carbonate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,D-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Thiamine Mononitrate,Pyridoxine Hydrochloride,Folic Acid,Biotin,Vitamin B12 Supplement),Salt,Rosemary Extract",[3],Sensitive Support Adult Cat Food - Turkey & Rice,[2],"salmon meal,dried egg product","deboned turkey,turkey meal,salmon meal","brewers rice,brown rice"
authority,8%,380/100g,29%,22%,3%,38%,7.0%,26.0%,20.0%,3.0%,10.0%,34.0%,"Deboned Chicken,Chicken Meal,Brewers Rice,Corn Protein Concentrate,Chicken Fat,Ground Corn,Dried Egg Product,Dried Plain Beet Pulp,Natural Flavor,Dicalcium Phosphate,Potassium Chloride,Fish Oil,Inulin,Choline Chloride,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Vitamin A Supplement,Thiamine Mononitrate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Folic Acid,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement),Sodium Hexametaphosphate,Minerals ( Zinc Sulfate,Ferrous Sulfate,Calcium Carbonate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Salt,Taurine,Rosemary Extract",[3],Kitten - Chicken & Rice,[3],"corn protein concentrate,ground corn,dried egg product,fish oil","deboned chicken,chicken meal","brewers rice,corn protein concentrate,ground corn"
authority,7%,314/100g,34%,11%,14%,35%,6.5%,32.5%,10.0%,13.0%,5.0%,33.0%,"Deboned Chicken,Chicken Meal,Brewers Rice,Ground Corn,Corn Protein Concentrate,Chicken Fat,Dried Plain Beet Pulp,Powdered Cellulose,Natural Flavor,Dried Egg Product,Potassium Chloride,Inulin,Choline Chloride,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Vitamin A Supplement,Thiamine Mononitrate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Folic Acid,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement),Sodium Hexametaphosphate,Fish Oil,Minerals (Zinc Sulfate,Ferrous Sulfate,Calcium Carbonate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Taurine,Salt,Mixed Tocopherols And Citric Acid,L-Carnitine,Rosemary Extract",[3],Mature Adult Cat Food - Chicken & Rice,[2],"ground corn,corn protein concentrate,dried egg product,fish oil","deboned chicken,chicken meal","brewers rice,ground corn,corn protein concentrate"
authority,7%,335/100g,37%,13%,6%,37%,6.5%,33.5%,12.0%,5.0%,10.0%,33.0%,"Deboned Tuna,Chicken Meal,Brewers Rice,Ground Corn,Corn Protein Concentrate,Chicken Fat,Dried Plain Beet Pulp,Natural Flavor,Powdered Cellulose,Dried Egg Product,Potassium Chloride,Choline Chloride,Inulin,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Thiamine Mononitrate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Folic Acid,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement),Sodium Hexametaphosphate,Minerals (Zinc Sulfate,Calcium Carbonate,Ferrous Sulfate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Taurine,Salt,L-Ascorbyl-2-Polyphoshate,L-Carnitine,Rosemary Extract",[3],Indoor Adult Cat Food - Tuna & Rice,[2],"deboned tuna,ground corn,corn protein concentrate,dried egg product","deboned tuna,chicken meal","brewers rice,ground corn,corn protein concentrate"
authority,7%,320/100g,39%,10%,6%,38%,6.5%,35.5%,9.0%,5.0%,10.0%,34.0%,"Deboned Chicken,Chicken Meal,Brewers Rice,Corn Protein Concentrate,Corn,Dried Plain Beet Pulp,Powdered Cellulose,Natural Flavor,Chicken Fat,Dried Egg Product,Potassium Chloride,Inulin,Choline Chloride,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Vitamin A Supplement,Thiamine Mononitrate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Folic Acid,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement),Sodium Hexametaphosphate,Minerals (Zinc Sulfate,Ferrous Sulfate,Calcium Carbonate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Salt,Taurine,Mixed Tocopherols And Citric Acid,Salmon Oil,L-Carnitine,Rosemary Extract",[3],Indoor Mature Adult Cat Food - Chicken & Rice,[2],"corn protein concentrate,corn,dried egg product,salmon oil","deboned chicken,chicken meal","brewers rice,corn protein concentrate,corn"
authority,7%,335/100g,37%,13%,6%,37%,6.5%,33.5%,12.0%,5.0%,10.0%,33.0%,"Deboned Salmon,Brewers Rice,Ground Corn,Corn Protein Concentrate,Chicken Meal,Chicken Fat,Dried Plain Beet Pulp,Natural Flavor,Powdered Cellulose,Dried Egg Product,Dicalcium Phosphate,Potassium Chloride,Inulin,Choline Chloride,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphoshpate,Vitamin A Supplement,Thiamine Mononitrate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Folic Acid,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement),Sodium Hexametaphosphate,Minerals (Zinc Sulfate,Ferrous Sulfate,Calcium Carbonate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Taurine,Salt,L-Carnitine,Rosemary Extract",[3],Indoor Adult Cat Food - Salmon & Rice,[2],"deboned salmon,ground corn,corn protein concentrate,dried egg product","deboned salmon,chicken meal","brewers rice,ground corn,corn protein concentrate"
authority,7%,344/100g,31%,18%,9%,36%,6.5%,27.5%,16.0%,8.0%,10.0%,32.0%,"Deboned Chicken,Chicken Meal,Brewers Rice,Corn Protein Concentrate,Chicken Fat,Ground Corn,Dried Plain Beet Pulp,Powdered Cellulose,Natural Flavor,Potassium Chloride,Sodium Acid Pyrophosphate,Fish Oil,Choline Chloride,Dried Egg Product,Inulin,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphoshate,Vitamin A Supplement,Thiamine Mononitrate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Folic Acid,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement),Sodium Hexametaphosphate,Minerals (Zinc Sulfate,Ferrous Sulfate,Calcium Carbonate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Taurine,Salt,Rosemary Extract",[3],Hairball Control Adult Cat Food - Chicken,[2],"corn protein concentrate,ground corn,fish oil,dried egg product","deboned chicken,chicken meal","brewers rice,corn protein concentrate,ground corn"
authority,7%,308/100g,39%,9%,8%,37%,6.5%,35.5%,8.0%,7.0%,10.0%,33.0%,"Deboned Chicken,Chicken Meal,Brewers Rice,Corn Protein Concentrate,Ground Corn,Powdered Cellulose,Dried Plain Beet Pulp,Chicken Fat,Dried Egg Product,Sodium Acid Pyrophosphate,Fish Oil,Potassium Chloride,Inulin,Choline Chloride,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Vitamin A Supplement,Thiamine Mononitrate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Biotin,Vitamin B12 Supplement),Sodium Hexametaphosphate,Minerals (Zinc Sulfate,Ferrous Sulfate,Calcium Carbonate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Taurine,Sal,L-Carnitine,Rosemary Extract",[3],Hairball Control & Weight Management Adult - Chicken,[2],"corn protein concentrate,ground corn,dried egg product,fish oil","deboned chicken,chicken meal","brewers rice,corn protein concentrate,ground corn"
authority,2%,316/100g,37%,10%,12%,39%,1.5%,33.5%,9.0%,11.0%,10.0%,35.0%,"Deboned Chicken,Chicken Meal,Brewers Rice,Corn Protein Concentrate,Ground Corn,Dried Plain Beet Pulp,Powdered Cellulose,Natural Flavor,Chicken Fat,Potassium Chloride,Sodium Acid Pyrophosphate,Fish Oil,Choline Chloride,Vitamin (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Vitamin A Supplement,Thiamine Mononitrate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Folic Acid,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement),Dried Egg Product,Inulin,Sodium Hexametaphosphate,Minerals (Zinc Sulfate,Ferrous Sulfate,Calcium Carbonate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Taurine,Dried Chicken Cartilage (Source Of Glucosamine And Chondroitin Sulfate),Salt,L-Carnitine,Rosemary Extract",[3],Hairball & Weight Managment + Joint Support Mature Adult Cat Food - Chicken & Rice,[2],"corn protein concentrate,ground corn,fish oil,dried egg product","deboned chicken,chicken meal","brewers rice,corn protein concentrate,ground corn"
authority,8%,372/100g,29%,21%,4%,38%,7.5%,26.0%,19.0%,3.5%,10.0%,34.0%,"Deboned Chicken,Chicken Meal,Dried Peas,Dried Potatoes,Chicken Fat,Pea Protein,Potato Protein,Dried Egg Product,Dried Plain Beet Pulp,Natural Flavor,Calcium Carbonate,Fsh Oil,Inulin,Dicalcium Phosphate,Choline Chloride,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Thiamine Mononitrate,Niacin Supplement,Vitamin A Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Folic Acid,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement),Potassium Chloride,Sodium Hexametaphosphate,Salt,Minerals (Zinc Sulfate,Ferrous Sulfate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Taurine,Rosemary Extract",[4],Grain Free Kitten - Chicken & Potato,[3],dried egg product,"deboned chicken,chicken meal",
authority,2%,366/100g,30%,17%,3%,48%,1.9%,26.1%,15.0%,3.0%,12.0%,42.0%,"Deboned Turkey,Turkey Meal,Corn Gluten Meal,Brewers Rice,Pea Protein,Chicken Fat (Preserved With Mixed Tocopherols),Dried Plain Beet Pulp,Dried Egg Product,Natural Flavor,Fish Oil,Sodium Hexametaphosphate,Potassium Chloride,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Biotin,Vitamin B12 Supplement,Calcium Iodate,Menadione Sodium Bisfulfite Complex,Folic Acid,Vitamin D3 Supplement),Choline Chloride,Minerals (Zinc Sulfate,Zinc Proteinate,Iron Proteinate,Ferrous Sulfate,Copper Sulfate,Copper Proteinate,Manganese Sulfate,Sodium Selenite,Manganese Proteinate),Taurine,Salt,Inulin,Citric Acid (A Preservative),Mixed Tocopherols (A Preservative),Rosemary Extract",[3],Everyday Health Savory Blends - Turkey,[3],"corn gluten meal,dried egg product,fish oil","deboned turkey,turkey meal","corn gluten meal,brewers rice"
authority,3%,362/100g,28%,17%,3%,48%,3.0%,25.0%,15.0%,3.0%,12.0%,42.0%,"Deboned Chicken,Chicken Meal,Corn Gluten Meal,Ground Corn,Pea Protein,Chicken Fat (Preserved with Mixed Tocopherols),Brewers Rice,Dried Plain Beet Pulp,Natural Flavor,Dried Egg Product,Fish Oil,Sodium Hexametaphosphate,Potassium Chloride,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Biotin,Vitamin B12 Supplement,Calcium Iodate,Menadione Sodium Bisfulfite Complex,Folic Acid,Vitamin D3 Supplement),Taurine,Choline Chloride,Minerals (Zinc Sulfate,Zinc Proteinate,Iron Proteinate,Ferrous Sulfate,Copper Sulfate,Copper Proteinate,Manganese Sulfate,Sodium Selenite,Manganese Proteinate),Salt,Inulin,Citric Acid (A Preservative),Mixed Tocopherols (A Preservative),Rosemary Extract",[3],Everyday Health Savory Blends - Chicken,[3],"corn gluten meal,ground corn,dried egg product,fish oil","deboned chicken,chicken meal","corn gluten meal,ground corn,brewers rice"
authority,2%,376/100g,37%,18%,4%,39%,2.0%,33.5%,16.0%,3.5%,10.0%,35.0%,"Deboned Salmon,Salmon Meal,Brewers Rice,Corn Gluten Meal,Canola Oil (Preserved with Mixed Tocopherols),Fish Meal,Dried Peas,Dried Egg Product,Dried Plain Beet Pulp,Natural Flavor,Sodium Hexametaphosphate,Powdered Cellulose,Choline Chloride,Inulin,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Thiamine Mononitrate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Biotin,Vitamin B12 Supplement,Calcium Iodate,Menadione Sodium Bisfulfite Complex,Folic Acid,Vitamin D3 Supplement),Fish Oil (Preserved With Mixed Tocopherols) (Source Of DHA),Potassium Chloride,Minerals (Zinc Sulfate,Zinc Proteinate,Iron Proteinate,Ferrous Sulfate,Copper Sulfate,Copper Proteinate,Manganese Sulfate,Sodium Selenite,Manganese Proteinate),Calcium Carbonate,Citric Acid (Preservative),Mixed Tocopherols (Preservative),Taurine,Rosemary Extract",[2],Everyday Health Indoor Kitten Dry Food - Salmon & Rice,[2],"deboned salmon,salmon meal,corn gluten meal,fish meal,dried egg product,fish oil","deboned salmon,salmon meal","brewers rice,corn gluten meal"
authority,2%,375/100g,40%,18%,4%,36%,1.8%,36.2%,16.0%,4.0%,10.0%,32.0%,"Deboned Chicken,Chicken Meal,Brewers Rice,Ground Corn,Corn Protein Concentrate,Chicken Fat,Deboned Turkey,Dried Plain Beet Pulp,Natural Flavor,Dried Egg Product,Salmon Oil,Potassium Chloride,Inulin,Choline Chloride,Salt,Dicalcium Phosphate,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,Vitamin A Supplement,Thiamine Mononitrate,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Folic Acid,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement),Sodium Hexametaphosphate,Minerals (Zinc Sulfate,Ferrous Sulfate,Calcium Carbonate,Copper Sulfate,Manganese Sulfate,Sodium Selenite,Calcium Iodate),Taurine,Rosemary Extract",[3],"All Life Stages Cat Food - Chicken, Rice & Turkey",[2],"ground corn,corn protein concentrate,dried egg product,salmon oil","deboned chicken,chicken meal,deboned turkey","brewers rice,ground corn,corn protein concentrate"
